Drug1,Drug2,Severity,InteractionType,Description,Mechanism,Recommendation,SpacingEffectiveness,Alternatives,MonitoringAdvice
Aspirin,Ibuprofen,danger,pharmacodynamic,Increased risk of gastrointestinal bleeding,Both medications inhibit COX enzymes and platelet aggregation,AVOID this combination if possible. If unavoidable under doctor supervision, use lowest effective doses.,low,"Use acetaminophen (Tylenol) for pain relief instead of ibuprofen","Watch for black/tarry stools, coffee ground vomit, easy bruising"
Aspirin,Warfarin,danger,pharmacodynamic,Significantly increased bleeding risk,Both affect clotting through different pathways,AVOID this combination unless specifically prescribed by doctor with close monitoring.,none,"Consider alternative antiplatelet therapy under doctor guidance","Monitor INR closely; watch for bleeding signs"
Ibuprofen,Warfarin,danger,pharmacodynamic,Increased bleeding risk,NSAIDs increase bleeding risk and can cause gastric ulcers,AVOID this combination. Use acetaminophen for pain instead.,low,"Acetaminophen is safer for pain relief","Monitor for bleeding; consider PPI for stomach protection"
Metformin,Lisinopril,warning,pharmacokinetic,May increase risk of hypoglycemia,Lisinopril can enhance glucose-lowering effects,Monitor blood sugar levels closely when starting this combination.,medium,"Alternative BP meds may have less effect on glucose","Check blood sugar more frequently, especially after meals"
Amoxicillin,Warfarin,warning,pharmacokinetic,May increase warfarin effect and bleeding risk,Antibiotics alter gut flora affecting vitamin K production,Monitor INR more frequently during antibiotic therapy.,not_applicable,"Alternative antibiotics may have less interaction","Check INR within 3-5 days of starting antibiotic"
Simvastatin,Amiodarone,danger,pharmacokinetic,Increased risk of muscle damage (rhabdomyolysis),Amiodarone inhibits CYP3A4 enzyme increasing statin levels,AVOID this combination. Use alternative statin (pravastatin/rosuvastatin).,not_applicable,"Pravastatin or rosuvastatin are safer alternatives","Monitor for muscle pain, weakness; check CK levels"
Sildenafil,Nitroglycerin,danger,pharmacodynamic,Severe hypotension and cardiovascular collapse,Both are vasodilators causing synergistic blood pressure drop,ABSOLUTE CONTRAINDICATION - do not use within 24-48 hours.,not_applicable,"For ED: tadalafil also contraindicated; discuss non-nitrate options","Seek emergency care if chest pain occurs after taking"
Levothyroxine,Calcium,warning,pharmacokinetic,Reduced thyroid hormone absorption,Calcium binds to levothyroxine in the gut,Separate doses by at least 4 hours.,high,"Take calcium at bedtime if levothyroxine is morning","Check TSH levels 6-8 weeks after changing schedule"
Digoxin,Furosemide,warning,pharmacodynamic,Increased risk of digoxin toxicity,Diuretic-induced hypokalemia increases digoxin sensitivity,Monitor potassium levels and digoxin levels.,medium,"Consider potassium-sparing diuretics","Check potassium and digoxin levels regularly"
Clopidogrel,Omeprazole,warning,pharmacokinetic,Reduced antiplatelet effect,Omeprazole inhibits CYP2C19 needed to activate clopidogrel,Consider alternative PPI (pantoprazole) or H2 blocker.,not_applicable,"Pantoprazole, famotidine, or ranitidine have less interaction","Monitor for cardiovascular events; consider platelet function testing"
Lithium,NSAIDs,danger,pharmacokinetic,Increased lithium levels reaching toxicity,NSAIDs reduce renal clearance of lithium,AVOID NSAIDs if on lithium. Use acetaminophen for pain.,low,"Acetaminophen is safe; consider alternative mood stabilizers","Monitor lithium levels closely; check renal function"
Methotrexate,Penicillin,warning,pharmacokinetic,Increased methotrexate toxicity,Penicillin reduces renal excretion of methotrexate,Monitor methotrexate levels; adjust dose if needed.,medium,"Alternative antibiotics may have less interaction","Check methotrexate levels; monitor for toxicity signs"
Phenytoin,Warfarin,warning,pharmacokinetic,Altered anticoagulant effect,Phenytoin induces CYP enzymes affecting warfarin metabolism,Monitor INR closely when starting/stopping phenytoin.,not_applicable,"Alternative anticonvulsants may have less interaction","Check INR weekly when changing doses"
Verapamil,Metoprolol,danger,pharmacodynamic,Severe bradycardia and heart block,Both medications slow AV node conduction,AVOID this combination. Consider alternative calcium channel blocker.,not_applicable,"Amlodipine or nifedipine have less heart rate effect","Monitor heart rate and ECG; watch for dizziness/fainting"
Ciprofloxacin,Tizanidine,danger,pharmacokinetic,Severe hypotension and sedation,Ciprofloxacin inhibits CYP1A2 increasing tizanidine levels,AVOID this combination. If necessary reduce tizanidine dose by 75%.,not_applicable,"Alternative antibiotics: avoid fluoroquinolones","Monitor BP and sedation levels closely"
Rifampin,Oral Contraceptives,warning,pharmacokinetic,Reduced contraceptive effectiveness,Rifampin induces CYP enzymes increasing hormone metabolism,Use alternative non-hormonal contraception.,not_applicable,"IUD, barrier methods, or progestin-only options","Watch for breakthrough bleeding; consider pregnancy test"
Theophylline,Ciprofloxacin,warning,pharmacokinetic,Increased theophylline levels and toxicity,Ciprofloxacin inhibits CYP1A2 reducing theophylline clearance,Reduce theophylline dose by 30-50% and monitor levels.,not_applicable,"Alternative antibiotics: azithromycin, doxycycline","Monitor theophylline levels; watch for nausea/vomiting"
Warfarin,Cranberry Juice,warning,pharmacokinetic,Increased INR and bleeding risk,Unknown mechanism - possibly inhibition of CYP enzymes,Limit cranberry juice intake; monitor INR more frequently.,not_applicable,"Avoid cranberry juice; other juices are safe","Check INR within 1 week of consuming cranberry"
Atorvastatin,Grapefruit Juice,warning,pharmacokinetic,Increased statin levels and muscle risk,Grapefruit inhibits CYP3A4 in gut wall,AVOID grapefruit juice; take with water instead.,not_applicable,"Orange juice is safe; other citrus fruits are fine","Monitor for muscle pain; consider switching statin"
SSRI,MAOI,danger,pharmacodynamic,Serotonin syndrome (life-threatening),Excessive serotonin accumulation in CNS,ABSOLUTE CONTRAINDICATION - allow 14-day washout period.,not_applicable,"Use different antidepressant class; allow proper washout","Watch for agitation, confusion, fever, muscle rigidity"
ACE Inhibitor,Potassium Supplement,warning,pharmacodynamic,Hyperkalemia (high potassium levels),Both increase serum potassium,Monitor potassium levels; avoid potassium-containing salt substitutes.,not_applicable,"Use alternative BP meds if recurrent hyperkalemia","Check potassium levels regularly; watch for weakness"